CPU_Total,CPU_P1,CPU_P2,CPU_P3,CPU_P4,Disk_wrVolume,Disk_wraccessVolume,Load_1min,Load_5min,Load_15min,Mem_Avail,Mem_freeTotal,Ping_Time(ms),Ping_Min(ms),Ping_Max(ms),Ping_PacketLoss,Traffic_inVolume,Traffic_outVolume,Class
2.8333,3.8333,2,3.8333,2,2293772.3,51.1021,0.2783,0.235,0.1917,6135396352,8644519253,21,11,51.5,0,1109715.627,910694.986,TWM
2.3333,3.3333,2,3.3333,2,2138115.69,32.0006,0.2617,0.2367,0.1917,6133288960,8644390229,16.2333,9.5,31.8333,0,1164938.354,957091.4174,TWM
3,4,2,4,2,2085258.825,28.3976,0.1967,0.2217,0.1883,6131009536,8644075520,9.5333,5,18.6667,0,1136620.019,946764.5966,TWM
3,4,2,4,2,2203662.775,26.0024,0.2117,0.2183,0.185,6128945152,8643996331,17.3333,6.1667,48.1667,0,1127024,936210,TWM
3,4,2,4,2,2133168.157,32.7944,0.3183,0.2433,0.1917,6133073237,8650090496,12.9667,6,27,0,1151139.416,946617.4034,TWM
3.6667,4,2.6667,4,2.6667,2151247.843,33.2056,0.2983,0.255,0.2,6138406912,8657396395,15.1667,6.5,37.5,0,1163265.969,941303.9419,TWM
3.8333,4,2.8333,4,2.8333,1907621.593,26.0979,0.4033,0.2883,0.21,6135267328,8656227669,19.6,6,47.5,0,1170637.615,941707.6547,TWM
3,4,2,4,2,2102059.82,29.3003,0.2717,0.2783,0.2083,6130149376,8653079211,20.6333,7,41.8333,0,1137209.5,946930.5,TWM
2.6667,3.3333,2.3333,3.3333,2.3333,2106155.82,29.6997,0.1633,0.2417,0.1967,6128171008,8653068971,13.2333,5.5,30.6667,0,1146673.464,946654.3589,TWM
3,4,2,4,2,2114665.168,32.4021,0.2367,0.24,0.1967,6126837760,8653716139,37.6667,16.8333,84.5,0,1173992.536,936283.6411,TWM
4,4.8333,3,4.8333,3,2313011.2,50.5,0.3783,0.2867,0.2117,6123612160,8652469589,44.3333,9.6667,103.5,0,1148416,946691,TWM
3.5,4,2.5,4,2.5,1424585.11,30.5994,0.2367,0.26,0.205,6120301227,8651125419,15,7,31.6667,0,1109837,946656,TWM
2.3333,3.1667,2.1667,3.1667,2.1667,2199552,29,0.1783,0.2417,0.2,6116046848,8648847360,9.1667,5.3333,15,0,1141747.5,909970.5,TWM
3.6667,4,2.6667,4,2.6667,2986806.89,74.1006,0.2333,0.24,0.1983,6111660032,8646451200,11.0667,5.6667,23.3333,0,1121006.892,957047.3894,TWM
3.5,4,2.5,4,2.5,1597834.84,39.497,0.1867,0.225,0.1917,6107058176,8643847509,12.4,6.8333,23.5,0,1166100.108,941557.6106,TWM
3.3333,4,2.3333,4,2.3333,2116820.18,36.8018,0.2367,0.2317,0.1933,6106068992,8644890624,22.9,10,45.5,0,1116638,941433,TWM
2.6667,3.6667,2,3.6667,2,2101255.38,32.0012,0.2467,0.235,0.1933,6119877973,8660720981,12.2333,6.5,24.8333,0,1102729.549,946601.3193,TWM
2.6667,3.6667,2,3.6667,2,2109440,34,0.1667,0.2117,0.185,6117464064,8660333227,22.3333,6.8333,57.3333,0,1137284.169,936245.035,TWM
3,4,2,4,2,2084856.62,29.9988,0.2017,0.2133,0.185,6114800299,8659690837,17.6333,7.1667,41.1667,0,1096699.282,946815.6456,TWM
3,4,2,4,2,2238471.38,34.8012,0.2033,0.2083,0.1833,6111232000,8658137771,15.6667,5.6667,44.6667,0,1102145.677,941383.5475,TWM
3,4,2,4,2,2299896.62,52.1988,0.31,0.2317,0.19,6104124757,8653055317,22.7,8,53.8333,0,1069309.063,925696.8559,TWM
3.3333,4,2.3333,4,2.3333,2101248,32,0.3167,0.25,0.1967,6099644416,8650603179,13.5333,6.1667,30,0,1083759.115,946690.965,TWM
3.5,4.3333,2.5,4.3333,2.5,2165972.18,32.8012,0.365,0.2767,0.2067,6097494016,8650481664,16,6.6667,35.5,0,1110033.249,946691.035,TWM
3.5,4.5,2.5,4.5,2.5,1676075.82,32.1988,0.3517,0.2917,0.2133,6095687680,8650687829,14.5333,6,32.6667,0,1134535.834,936280,TWM
